date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,cnn_trigger,vix_trigger,margin_trigger,signal_count
2025-10-27,53.2,18.7,106.64,140.25,18368.18,2790.17,5295.28,2204.94,259.0,18368.18,2790.17,5295.28,2204.94,259.0,0.0,0.0,0.0,0.0,0.0,51.82,19.84,119.35,195.81,0,0,0,0
2025-10-28,54.2,16.13,103.73,133.07,18392.54,2769.57,5252.3,2212.0,264.1,18392.54,2790.17,5295.28,2212.0,264.1,0.0,-0.74,-0.81,0.0,0.0,52.0,20.16,115.01,195.92,0,0,0,0
2025-10-29,54.4,23.26,82.81,141.78,18475.66,2776.44,5285.17,2179.99,266.35,18475.66,2790.17,5295.28,2212.0,266.35,0.0,-0.49,-0.19,-1.45,0.0,52.02,19.79,112.38,191.77,0,0,0,0
2025-10-30,48.8,14.24,90.3,138.99,18253.47,2774.05,5272.74,2183.23,269.62,18475.66,2790.17,5295.28,2212.0,269.62,-1.2,-0.58,-0.43,-1.3,0.0,50.23,20.17,113.72,193.48,0,0,0,0
2025-10-31,37.3,17.44,89.68,142.62,18198.68,2838.84,5238.18,2152.04,272.73,18475.66,2838.84,5295.28,2212.0,272.73,-1.5,0.0,-1.08,-2.71,0.0,49.91,20.68,117.78,197.33,0,0,0,0
2025-11-03,50.3,14.63,104.52,130.47,17883.4,2839.79,5248.8,2143.21,275.69,18475.66,2839.79,5295.28,2212.0,275.69,-3.21,0.0,-0.88,-3.11,0.0,47.89,21.07,115.98,198.94,0,0,0,0
2025-11-04,53.0,17.89,96.68,143.68,17868.33,2861.07,5218.42,2135.03,268.07,18475.66,2861.07,5295.28,2212.0,275.69,-3.29,0.0,-1.45,-3.48,-2.76,47.64,21.33,119.44,195.92,0,0,0,0
2025-11-05,45.8,27.56,89.84,125.97,18059.88,2868.9,5176.21,2160.11,269.6,18475.66,2868.9,5295.28,2212.0,275.69,-2.25,0.0,-2.25,-2.35,-2.21,49.16,22.58,118.37,199.29,0,1,0,1
2025-11-06,68.2,17.99,84.45,131.58,18027.15,2909.74,5210.02,2179.45,260.0,18475.66,2909.74,5295.28,2212.0,275.69,-2.43,0.0,-1.61,-1.47,-5.69,49.03,22.21,116.52,201.27,0,0,0,0
2025-11-07,44.6,31.7,108.66,124.57,18321.74,2896.75,5194.84,2182.22,255.16,18475.66,2909.74,5295.28,2212.0,275.69,-0.83,-0.45,-1.9,-1.35,-7.45,51.14,22.8,116.53,201.89,0,1,0,1
2025-11-10,38.3,14.87,96.95,133.47,18294.88,2906.12,5267.39,2134.54,258.95,18475.66,2909.74,5295.28,2212.0,275.69,-0.98,-0.12,-0.53,-3.5,-6.07,51.3,23.28,116.68,203.56,0,0,0,0
2025-11-11,42.5,11.3,100.17,138.93,18738.41,2888.36,5280.89,2091.0,257.41,18738.41,2909.74,5295.28,2212.0,275.69,0.0,-0.73,-0.27,-5.47,-6.63,55.25,24.29,116.55,204.31,0,0,0,0
2025-11-12,55.3,16.22,109.83,135.95,18580.94,2921.09,5284.6,2110.02,262.33,18738.41,2921.09,5295.28,2212.0,275.69,-0.84,0.0,-0.2,-4.61,-4.85,53.93,25.86,117.26,206.05,0,0,0,0
2025-11-13,52.1,12.03,93.04,123.14,18696.75,2956.02,5262.92,2062.66,263.51,18738.41,2956.02,5295.28,2212.0,275.69,-0.22,0.0,-0.61,-6.75,-4.42,54.78,26.54,119.04,206.71,0,0,0,0
2025-11-14,47.3,20.29,117.66,120.1,18798.37,2954.69,5231.54,2076.68,265.44,18798.37,2956.02,5295.28,2212.0,275.69,0.0,-0.04,-1.2,-6.12,-3.72,55.78,27.35,116.92,205.04,0,0,0,0
